"TreeId","Address","Location","Species","Height","Trunk Diameter","Defects","Comments","Age Range","Vitality","Soil Type","Tree Image"
"1","88888","Raiya Road,Rajkot","Rajkot","Pinusradiata","15m","535mm","Dead is limbs in excess","remove deadwood","0 to 10 years","Healty",""
"88888","Raiya Road,Rajkot","Rajkot","Pinusradiata","15m","535mm","Dead is limbs in excess","remove deadwood","0 to 10 years","Healty","Peaty",""
"77777","g","g","g","g","g","g","g","31 years to 50 years","Healthy","Sandy","| http://treespower.com.sg/treespower/public/uploads/Tree_Images/5788treesImage.jpg | http://treespower.com.sg/treespower/public/uploads/Tree_Images/4462treesImage.jpg | http://treespower.com.sg/treespower/public/uploads/Tree_Images/12treesImage.jpg"
"DC007","Raiya Road,Rajkot","Rajkot","Pinusradiata","15m","535mm","Dead is limbs in excess","remove deadwood","0 to 10 years","Vitality","Peaty",""
"3","ytyt","50 Playd=fiar Road Noel Building #05-03 Singapore 365995","ytytyt","yttyty","3434","65656556","hghghg","hggh","0 to 10 years","Healthy",""
"5","fdfdfd","fddfdf","fdffd","fdfdfd","fdfd","ffdfd","fddfdf","fddf","0 to 10 years","Healthy",""
"14","Raiya Road,Rajkot","Rajkot","Pinus radiata","15 m","525 mm","4","Remove deadwood 100mm and larger.","Clay","0 to 10 years","Weak",""
"3","ytyt","50 Playd=fiar Road Noel Building #05-03 Singapore 365995","ytytyt","yttyty","3434","65656556","hghghg","hggh","0 to 10 years","Healthy",""
"5","fdfdfd","fddfdf","fdffd","fdfdfd","fdfd","ffdfd","fddfdf","fddf","0 to 10 years","Healthy",""
"DC007","Raiya Road,Rajkot","Rajkot","Pinusradiata","15m","535mm","Dead is limbs in excess","remove deadwood","0 to 10 years","Vitality","Peaty",""
