"TreeId","Address","Location","Species","Height","Trunk Diameter","Defects","Comments","Age Range","Vitality","Soil Type","Tree Image"
"1dm","Raiya Road","Rajkot","Pinus radiata","75","525","e","Remove deadwood 100mm and larger.","81 years to 100 years","Healthy","Sandy","127treesImage.jpg"
"sssssss","Raiya Road,Rajkot","Rajkot","Pinus radiata","50.01","525","q","Remove deadwood 100mm and larger.","Above 100 years","Healthy","Sandy","6681treesImage.jpg"
"a9","Raiya Road,Rajkot","Rajkot","f","30","525 mm","e","4","51 years to 80 years","Unsafe","Silty","4922treesImage.jpg,9818treesImage.jpg"
"a7","Botanic Garden","Botanic Garden","Deciduous trees","0","8","No","Good","0 to 10 years","Healthy","Sandy","7061treesImage.jpg,8075treesImage.jpg,3547treesImage.jfif"
"a6","gghhg","h","hgh","30.02","hgghg","ghhg","hghg","0 to 10 years","Healthy","Clay",""
"a5","ghgg","hyvhv","gchc","50","fdfd","fddf","fdf","0 to 10 years","Healthy","Clay",""
"mm","Raiya Road,Rajkot","Rajkot","Pinus radiata","20","525","e","Remove deadwood 100mm and larger.","31 years to 50 years","Weak","Chalky","5377treesImage.jpg"
"a4","MBS","In the Shopping mall","Coniferous trees","500","50.01","NA","Water","31 years to 50 years","Healthy","Sandy","1813treesImage.jpg,3775treesImage.jpg,9400treesImage.jpg"
"fgfgfg","gfg","gfgf","gffg","50","gffg","gffg","gffg","11 to 30 years","Healthy","Sandy",""
"a3","fdfd","fdd","fddf","50","fdfd","fddf","fddf","Age Range","Weak","Sandy","7287treesImage.jpg,9995treesImage.jpg,9226treesImage.jpg,2385treesImage.jpg,6466treesImage.jpg,1094treesImage.jpg,5821treesImage.jpg,1311treesImage.jpg,8890treesImage.jpg,9650treesImage.jpg"
"111","Raiya Road,Rajkot","4","q","70","f","e","Remove deadwood 100mm and larger.","81 years to 100 years","Unsafe","Sandy","1342treesImage.jpg"
"fdfddf","fdd","fddf","fddf","68","dvd","fddf","fddf","0 to 10 years","Healthy","Sandy",""
"ffggf","fgfg","gfgf","gffg","0","fgffgd","fgf","fgfg","31 years to 50 years","Healthy","Sandy",""
"a2","bvbv","bb","nbn","1","khfdkdhf","iuggdgd","ihidgh","31 years to 50 years","Healthy","Sandy",""
