"TreeId","Address","Location","Species","Height (meter)","Width (meter)","Date Planted","Comments","Age Range","Vitality","Soil Type","Tree Image"
"155","playfair road","macpherson","specied","100","18","8/8/2008","","11 to 20 years","strong","Chalky","7287treesImage.jpg,9995treesImage.jpg,9226treesImage.jpg,2385treesImage.jpg,6466treesImage.jpg,1094treesImage.jpg"
"TR1","Testing","Rajkot","12","50","50","03/25/1980","Testing comment","31 to 50 years","Healthy","Sandy",""
"188lah","50 Playfair Road #05-03 Noel Building Singapore 367995","macpherson","spec","50","525","3/2/2022","","1 to 10 years","strong","Chalky","7287treesImage.jpg,9995treesImage.jpg,9226treesImage.jpg,2385treesImage.jpg,6466treesImage.jpg,1094treesImage.jpg"
"ddddddd","new york","down street","no species","17","17777","6/6/2019","no comments","0 to 10 years","Death","Sandy","6441treesImage.jpg"
"1lahdfsdf","new york","down street","no species","17","17777","1/29/2022","no comments","81 years to 100 years","Healthy","Clay","3647treesImage.jpg"
"sdfdfdf","new york","down street","no species","17","17777","1/14/2022","no comments","0 to 10 years","Weak","Clay","950treesImage.jpg"
"188","50 Playfair Road #05-03 Noel Building Singapore 367995","Macpherson Jurong Town Hall Yeah Lah","spec","100","10","4/16/2022","Comments","51 years to 80 years","Healthy","Sandy","6102treesImage.jpg,6975treesImage.jpg,1493treesImage.jpg,5026treesImage.jpg,1773treesImage.jpg,2571treesImage.png,6881treesImage.png,4430treesImage.png,3285treesImage.png"
"DC1ccxd","Raiya Road,Rajkot","Rajkot","Pinus radiata","15","525","8/11/2022","Remove deadwood 100mm and larger.","0 to 10 years","Weak","Chalky","7287treesImage.jpg,9995treesImage.jpg,9226treesImage.jpg,2385treesImage.jpg,6466treesImage.jpg,1094treesImage.jpg,5239treesImage.jpg,3324treesImage.jpg"
"1","ujjvj","kjbb","jvjvj","77","jbjbj","3/24/2022","jjjbvj","11 to 30 years","Healthy","Sandy","7222treesImage.jpg,8192treesImage.png,8716treesImage.png,7758treesImage.png,6811treesImage.png,2602treesImage.png,3625treesImage.png,452treesImage.png"
"12","Address","Location","S","123","12","4/4/2022","Comments","0 to 10 years","Healthy","Clay",""
"1245","Address","Location","Species","1234","123","4/20/2022","Comments","81 years to 100 years","Death","Sandy",""
"QA","qa","qa","qa","10","10","11/4/2022","qa","0 to 10 years","Vitality","Clay","9957treesImage.png,67treesImage.png,8320treesImage.png,4901treesImage.png,1604treesImage.png,812treesImage.png,7030treesImage.png,958treesImage.png,7985treesImage.png,2143treesImage.png,6508treesImage.jpg,6477treesImage.jpg,8538treesImage.jpg"
"DC00d9","Raiya Road,Rajkot","Rajkot","Pinus radiata","15","525","2/2/2022","Remove deadwood 100mm and larger.","0 to 10 years","Weak","Chalky","7287treesImage.jpg,9995treesImage.jpg,9226treesImage.jpg,2385treesImage.jpg,6466treesImage.jpg,1094treesImage.jpg"
"dddd999","Raiya Road,Rajkot","Rajkot","Pinus radiata","4","525","4/23/2022","Remove deadwood 100mm and larger.","51 years to 80 years","Healthy","Clay","3369treesImage.png"
"a1lahloh","ggr","gfg","gffg","3332","3434","3/29/2022","gfg","0 to 10 years","Healthy","Sandy",""
"dd98","Raiya Road,Rajkot","Rajkot","Pinus radiata","4","525","","Remove deadwood 100mm and larger.","0 to 10 years","Weak","Chalky","1706treesImage.jpg"
"aa1lah","hgh","ghgh","hggh","34434","3455","","hggh","0 to 10 years","Healthy","Clay",""
"1lah","new york","down street","no species","7","18","4/16/2022","no comments","0 to 10 years","Healthy","Clay","7242treesImage.jpg,9885treesImage.jpg,7283treesImage.jpg,9906treesImage.jpg,5618treesImage.png,2744treesImage.png,9173treesImage.png,6008treesImage.jpg,1458treesImage.png,6451treesImage.png,3044treesImage.png,8959treesImage.png,7060treesImage.png,4004treesImage.png,9586treesImage.jpg,7339treesImage.png,9524treesImage.png,7392treesImage.png"
"German Oak","Musterstraße 31","Berlin, Germany","German Oak","200","150","7/2/2022","The leaves are turning red","Above 100 years","Healthy","Clay","46treesImage.jpg,8567treesImage.jpg,3196treesImage.jpg,6698treesImage.png,4553treesImage.png,83treesImage.png"
"16122021_02","lilavanti community hall, Kothariya","Rajkot","Mango","10","10","1/2/2022","Insect are too much","0 to 10 years","Healthy","Clay","6784treesImage.png,5432treesImage.png,6628treesImage.png,2684treesImage.png,851treesImage.png,4282treesImage.png,4600treesImage.png,7352treesImage.png,706treesImage.png,5120treesImage.png,5776treesImage.png,8100treesImage.png"
"16122021_01","lilavanti community hall, Kothariya","rajkot","Palm treeeeeeeee","21","1201","1/1/2022","Need to visit for better diagnosis","Above 100 years","Death","Sandy","2835treesImage.jfif,3267treesImage.png,6570treesImage.png,5755treesImage.png,3079treesImage.png,1686treesImage.png,7768treesImage.png,5542treesImage.png,6700treesImage.png,3530treesImage.png,7633treesImage.png,1513treesImage.png,9321treesImage.png,9112treesImage.png,58treesImage.png,5734treesImage.png,7297treesImage.png,8687treesImage.png,1581treesImage.png,4322treesImage.png"
"ask","fdfd","ffd","fddf","12","dffd","","fdddffffff","Age Range","Vitality","Soil Type","986treesImage.jpg"
"nnnn","Raiya Road,Rajkot","Rajkot","f","4","525","","Remove deadwood 100mm and larger.","31 years to 50 years","Weak","Silty","1863treesImage.jpg,2858treesImage.jpg,4043treesImage.jpg"
"q11","dfd","dfd","dfdf","23","ffd","","fddf","11 to 30 years","Healthy","Clay","1528treesImage.jpg"
"q1","ggfg","gfg","gfgf","1","ggh","","fg","0 to 10 years","Healthy","Sandy","8083treesImage.jpg,6170treesImage.jpg"
"zz111","Raiya Road,Rajkot","Rajkot","Pinus radiata","4","4","","Remove deadwood 100mm and larger.","0 to 10 years","Weak","Sandy","2029treesImage.jpg"
"zz11","Raiya Road,Rajkot","Rajkot","Pinus radiata","4","4","","Remove deadwood 100mm and larger.","0 to 10 years","Weak","Sandy","9671treesImage.jpg"
"fddf","fddf","fdfd","fd","2","ddf","","ffd","11 to 30 years","Healthy","Sandy","7596treesImage.jpg"
"aas","Raiya Road,Rajkot","Rajkot","f","70","525","","Remove deadwood 100mm and larger.","11 to 30 years","Weak","Clay","6415treesImage.jpg,6494treesImage.jpg,4904treesImage.jpg"
"aa","Raiya Road,Rajkot","Rajkot","4","15","4","","Remove deadwood 100mm and larger.","81 years to 100 years","Healthy","Sandy","3827treesImage.jpg,1435treesImage.jpg"
"mjh","jhhj","jjh","jjh","12","jjh","","jhjh","0 to 10 years","Healthy","Sandy","6936treesImage.jpg"
"f","fdfd","fggf","gfg","1","fdf","","fdfd","0 to 10 years","Healthy","Sandy","3888treesImage.jpg"
"dfdffdd","gghhg","hggh","hggh","10","hghg","","ghgh","0 to 10 years","Healthy","Clay","6012treesImage.jpg"
"aa1","ghgh","ghgh","ghgh","1","ghhg","","hghg","0 to 10 years","Healthy","Sandy","3910treesImage.png,8812treesImage.jpg,9420treesImage.png,7920treesImage.jpg"
"zv","fgfgfg","gffg","gfg","300.01","gfgf","","hggh","1 to 10 years","Weak","Chalky","9995treesImage.jpg,9226treesImage.jpg,2385treesImage.jpg"
