"TreeId","Address","Location","Species","Height","Trunk Diameter","Defects","Comments","Age Range","Vitality","Soil Type","Tree Image"
"DC1ccxm","Raiya Road,Rajkot","Rajkot","Pinus radiata","105 m","525 mm","4","Remove deadwood 100mm and larger.","11 to 30 years","Death","Sandy","2385treesImage.jpg,9226treesImage.jpg,9995treesImage.jpg,7287treesImage.jpg,6466treesImage.jpg,1094treesImage.jpg,90311treesImage.jpg"
"llm","h","h","h","Height","h","h","h","11 to 30 years","Death","Sandy","2498treesImage.jpg,1treesImage.jpg,69590treesImage.jpg,4682treesImage.jpg,8854treesImage.jpg"
"ll","h","h","h","Height","h","h","h","0 to 10 years","Weak","Clay","1treesImage.jpg,2498treesImage.jpg,8854treesImage.jpg,4682treesImage.jpg"
"DC0001er","rajkotm","raiya road","Pinus radiata","5 m","525 mm","Dead limbs in excess of 100mm requare  to be removed","Remove deadwood 100mm and larger","31 years to 50 years","Weak","Silty","2treesImage.jpg,1493treesImage.jpg,5026treesImage.jpg,3treesImage.jpg,2treesImage.jpg,3treesImage.jpg,2treesImage.jpg,3treesImage.jpg,4treesImage.jpg,5treesImage.jpg,4treesImage.jpg,5treesImage.jpg,4treesImage.jpg,5treesImage.jpg,6treesImage.jpg,7treesImage.jpg,8treesImage.jpg"
"DC000189","rajkot","raiya road","Pinus radiata","15 m","525 mm","Dead limbs in excess of 100mm requare  to be removed","Remove deadwood 100mm and larger","0 to 10 years","Healthy","Clay","6102treesImage.jpg,6975treesImage.jpg,1493treesImage.jpg,5026treesImage.jpg"
"Dc00020","rajkot","Gujrat","Pinus","15 m","525 mm","Dead limbs","Remove deadwood","31 years to 50 years","Weak","Silty","9700treesImage.jpg,3204treesImage.jpg,6558treesImage.jpg"
"Dc00038","rajkot","Gujrat","Pinus","15 m","525 mm","Dead limbs","Remove deadwood","31 years to 50 years","Weak","Peaty","9700treesImage.jpg,3204treesImage.jpg,6558treesImage.jpg"
"DC00040","rajkot","raiya road","Pinus radiata","15 m","525 mm","Dead limbs in excess of 100mm requare  to be removed","Remove deadwood 100mm and larger","51 years to 80 years","Death","Chalky","6102treesImage.jpg,6975treesImage.jpg,1493treesImage.jpg,5026treesImage.jpg"
"Dc00058","rajkot","Gujrat","Pinus","15 m","525 mm","Dead limbs","Remove deadwood","31 years to 50 years","Healthy","Chalky","9700treesImage.jpg,3204treesImage.jpg,6558treesImage.jpg"
"DC00067","rajkot","raiya road","Pinus radiata","15 m","525 mm","Dead limbs in excess of 100mm requare  to be removed","Remove deadwood 100mm and larger","51 years to 80 years","Healthy","Loamy","6102treesImage.jpg,6975treesImage.jpg,1493treesImage.jpg,5026treesImage.jpg"
