"TreeId","Address","Location","Species","Height","Trunk Diameter","Defects","Comments","Age Range","Vitality","Soil Type","Tree Image"
"DC000556","rajkot","raiya road","Pinus radiata","15 m","525 mm","Dead limbs in excess of 100mm requare  to be removed","Remove deadwood 100mm and larger","Above 100 years","Weak","Silty","6102treesImage.jpg,6975treesImage.jpg,1493treesImage.jpg,5026treesImage.jpg"
"Dc0003g","rajkot","Gujrat","Pinus","15 m","525 mm","Dead limbs","Remove deadwood","31 years to 50 years","Weak","Peaty",""
"DC0d006","rajkot","raiya road","Pinus radiata","15 m","525 mm","Dead limbs in excess of 100mm requare  to be removed","Remove deadwood 100mm and larger","51 years to 80 years","Healthy","Loamy","6102treesImage.jpg,6975treesImage.jpg,1493treesImage.jpg,5026treesImage.jpg"
"DC0000","rajkot","raiya road","Pinus radiata","15 m","525 mm","Dead limbs in excess of 100mm requare  to be removed","Remove deadwood 100mm and larger","Above 100 years","Unsafe","Loamy","6102treesImage.jpg,6975treesImage.jpg,1493treesImage.jpg,5026treesImage.jpg"
"DC0006","rajkot","raiya road","Pinus radiata","15 m","525 mm","Dead limbs in excess of 100mm requare  to be removed","Remove deadwood 100mm and larger","51 years to 80 years","Healthy","Loamy","6102treesImage.jpg,6975treesImage.jpg,1493treesImage.jpg,5026treesImage.jpg"
"Dc0005","rajkot","Gujrat","Pinus","15 m","525 mm","Dead limbs","Remove deadwood","31 years to 50 years","Healthy","Peaty","9700treesImage.jpg,3204treesImage.jpg,6558treesImage.jpg"
"DC0004","rajkot","raiya road","Pinus radiata","15 m","525 mm","Dead limbs in excess of 100mm requare  to be removed","Remove deadwood 100mm and larger","51 years to 80 years","Death","Chalky","6102treesImage.jpg,6975treesImage.jpg,1493treesImage.jpg,5026treesImage.jpg"
"Dc0003","rajkot","Gujrat","Pinus","15 m","525 mm","Dead limbs","Remove deadwood","31 years to 50 years","Weak","Peaty","9700treesImage.jpg,3204treesImage.jpg,6558treesImage.jpg"
"Dc0002","rajkot","Gujrat","Pinus","15 m","525 mm","Dead limbs","Remove deadwood","31 years to 50 years","Weak","Peaty","9700treesImage.jpg,3204treesImage.jpg,6558treesImage.jpg"
"DC0001","rajkot","raiya road","Pinus radiata","15 m","525 mm","Dead limbs in excess of 100mm requare  to be removed","Remove deadwood 100mm and larger","0 to 10 years","Healthy","Clay","6102treesImage.jpg,6975treesImage.jpg,1493treesImage.jpg,5026treesImage.jpg"
