"No","TreeId","Address","Location","Species","Height","Trunk Diameter","Defects","Comments","Age Range","Vitality","Soil Type"
"1","DC001","Raiya Road,Rajkot","Rajkot","Pinus radiata","15 m","525 mm","4","Remove deadwood 100mm and larger.","0 to 10 years","Weak","Chalky"
"2","DC002","Raiya Road,Rajkot","Rajkot","Pinus radiata","15 m","525 mm","4","Remove deadwood 100mm and larger.","0 to 10 years","Weak","Chalky"
"3","DC003","Navrangpura swstic 4 rasta,Ahemdabad","Rajkot","Pinus radiata","4","4","4","Remove deadwood 100mm and larger.","51 years to 80 years","Unsafe","Chalky"
"4","tryeeude","eererere","65666","tytyt","5656565","65656","66","656556","0 to 10 years","Healthy","Sandy"
"5","yyuy","uyjj","yuuyui","jjj","4666","8998","gyyyuy","yuuyj","0 to 10 years","Healthy","Soil Type"
"6","vyjj","trtrrt","rtrt","rtrtrt","rtrt","trrttrrt","rtrtr","rttrrt","0 to 10 years","Healthy","Clay"
"7","DC006","Raiya Road,Rajkot","Rajkot","Pinus radiata","15 m","525 mm","Dead limbs in excess of 100mm requare to be remove","Remove deadwood 100mm and larger.","0 to 10 years","Healthy","Peaty"
"8","DC006","Raiya Road,Rajkot","Rajkot","Pinus radiata","15 m","525 mm","Dead limbs in excess of 100mm requare to be remove","Remove deadwood 100mm and larger.","0 to 10 years","Healthy","Peaty"
"9","DC0006","1","1","1","1","1","1","1","1","1","1"
"10","DC007","Raiya Road,Rajkot","Rajkot","Pinusradiata","15m","535mm","Dead is limbs in excess","remove deadwood","0 to 10 years","Healthy","Peaty"
"11","DC0006","1","1","1","1","1","1","1","1","1","1"
"12","DC0007","2","2","2","2","2","2","2","2","2","2"
"13","DC007","Raiya Road,Rajkot","Rajkot","Pinusradiata","15m","535mm","Dead is limbs in excess","remove deadwood","0 to 10 years","Healty","Peaty"
"14","DC007","Raiya Road,Rajkot","Rajkot","Pinusradiata","15m","535mm","Dead is limbs in excess","remove deadwood","0 to 10 years","Healty","Peaty"
