"TreeId","Address","Location","Species","Height","Trunk Diameter","Defects","Comments","Age Range","Vitality","Soil Type","Tree Image"
"qq","ghhghg","hggh","hggh","5","5","ggh","hg","31 years to 50 years","Healthy","Chalky",""
"684456","gfgfd","ghghghg","ggg","1","1","gfgfgff","gffg","Above 100 years","Healthy","Sandy",""
"nnx","Raiya Road,Rajkot","4","Pinus radiata","15 m","525 mm","e","4","81 years to 100 years","Unsafe","Sandy",""
"nn","Raiya Road,Rajkot","4","Pinus radiata","15 m","525 mm","e","4","81 years to 100 years","Unsafe","Sandy",""
"DC005bbb111","Raiya Road,Rajkot","4","Pinus radiata","15 m","525 mm","e","4","81 years to 100 years","Unsafe","Sandy","6785treesImage.jpg,3483treesImage.jpg,688treesImage.jpg"
"DC005bbb","Raiya Road,Rajkot","4","Pinus radiata","15 m","525 mm","e","4","81 years to 100 years","Unsafe","Sandy",""
"DC004","Raiya Road,Rajkot","Rajkot","sdas","15 m","525 mm","e","4","81 years to 100 years","Weak","Chalky","2488treesImage.jpg,5736treesImage.jpg"
"1aann","Raiya Road,Rajkot","Rajkot","Pinus radiata","15 m","525 mm","q","Remove deadwood 100mm and larger.","51 years to 80 years","Weak","Clay",""
"1aa","Raiya Road,Rajkot","Rajkot","Pinus radiata","15 m","525 mm","q","Remove deadwood 100mm and larger.","51 years to 80 years","Weak","Clay",""
"1111111111111111111111111","sdkdmcka","4","f","4","525 mm","e","q","31 years to 50 years","Healthy","Silty",""
"1111111111111111111","Raiya Road,Rajkot","Rajkot","Pinus radiata","15 m","525 mm","e","Remove deadwood 100mm and larger.","Above 100 years","Death","Clay",""
"11111111111111111","SG Ring Road","aaa","q","15 m","525 mm","e","Remove deadwood 100mm and larger.","81 years to 100 years","Healthy","Peaty","7343treesImage.jpg,785treesImage.jpg"
"1111111111111111","SG Ring Road","aaa","q","15 m","525 mm","e","Remove deadwood 100mm and larger.","81 years to 100 years","Healthy","Peaty","4156treesImage.jpg,4821treesImage.jpg"
"111","Raiya Road","Rajkot","Pinus radiata","15 m","f","q","Remove deadwood 100mm and larger.","0 to 10 years","Weak","Clay","5794treesImage.jpg,2371treesImage.jpg"
"11","sdkdmcka","sd","Pinus radiata","15 m","525 mm","q","f","31 years to 50 years","Unsafe","Silty","3147treesImage.jpg,9454treesImage.jpg"
"111111111","SDJskdjl","aaa","Pinus radiata","q","10","e","Remove deadwood 100mm and larger.","81 years to 100 years","Healthy","Sandy","299treesImage.jpg,117treesImage.jpg"
"1111111","SDJskdjl","aa","Pinus radiata","f","q","e","Remove deadwood 100mm and larger.","81 years to 100 years","Weak","Loamy","9999treesImage.jpg,1251treesImage.jpg"
"DC001zz","Raiya Road","aa","q","4","525 mm","e","f","51 years to 80 years","Weak","Sandy","8674treesImage.jpg"
"zz","SG Ring Road","Rajkot","f","15 m","525","f","e","11 to 30 years","Weak","Sandy","9431treesImage.jpg"
"11xx","Navrangpura swstic 4 rasta,Ahemdabad","aaa","sdas","15 m","525 mm","e","f","81 years to 100 years","Death","Peaty","7927treesImage.jpg"
"DCkkk","Raiya Road,Rajkot","sd","Pinus radiata","15 m","4","e","q","11 to 30 years","Healthy","Sandy","7670treesImage.jpg"
"1112222","sdkdmcka","Rajkot","4","q","525","e","Remove deadwood 100mm and larger.","11 to 30 years","Weak","Peaty","3252treesImage.jpg"
"1ddddsa121","sdkdmcka","Rajkot","Pinus radiata","15 m","e","e","Remove deadwood 100mm and larger.","11 to 30 years","Healthy","Silty","9667treesImage.jpg"
"dfhd","Raiya Road,Rajkot","Rajkot","Pinus radiata","15 m","e","q","Remove deadwood 100mm and larger.","11 to 30 years","Unsafe","Sandy","7955treesImage.jpg,550treesImage.jpg"
"123456","Area address","area location","spicies data","10","10","1","test","11 to 30 years","Healthy","Peaty","3142treesImage.jpg"
"12345","Area address","area location","spicies data","10","10","1","test","11 to 30 years","Healthy","Sandy","925treesImage.jpg"
"ewewewew","fdddf","fddfdf","fdfddf","fdfdfd","fddfdf","fdfd","fddfdf","0 to 10 years","Healthy","Clay","2379treesImage.png"
"lklkzz","Singapore","Singapore Botanic Gardens","Abies alba","10","2","No","Need to water","31 years to 50 years","Healthy","Sandy","1014treesImage.jpg"
"bnbv","Green Heart  Garden","Marina One Green Heart  Garden","Beech","8","3","No","Remove deadwood 100mm and larger.","11 to 30 years","Weak","Peaty","3562treesImage.jpg"
"lklk","SG Ring Road","Bali Gates of Heaven","Pedunculate Oak","15","50 cm","No","4","11 to 30 years","Vitality","Sandy","2892treesImage.jpg"
"mmm","Macritchie Reservoir","Macritchie Reservoir","American basswood -- Tilia americana","15 m","6","No","Remove deadwood 100mm and larger.","0 to 10 years","Healthy","Sandy","9454treesImage.jpg"
"dmdm","Navrangpura swstic 4 rasta,Ahemdabad","Rajkot","Pinus radiata","15 m","525 mm","q","Remove deadwood 100mm and larger.","81 years to 100 years","Unsafe","Clay",""
"DC001mm","SDJskdjl","Rajkot","Pinus radiata","e","q","e","4","81 years to 100 years","Death","Clay","2441treesImage.jpg"
"sdsd","SDJskdjl","aaa","f","f","f","e","Remove deadwood 100mm and larger.","51 years to 80 years","Weak","Sandy","4690treesImage.jpg"
"198","add","loc","spec","10","30","defects","hhchvcvj","Age Range","Healthy","Soil Type","6102treesImage.jpg,6975treesImage.jpg,1493treesImage.jpg,5026treesImage.jpg"
"DC1ccxm","Raiya Road,Rajkot","Rajkot","Pinus radiata","15 m","525 mm","4","Remove deadwood 100mm and larger.","0 to 10 years","Weak","Chalky","2385treesImage.jpg,9226treesImage.jpg,9995treesImage.jpg,7287treesImage.jpg,6466treesImage.jpg,1094treesImage.jpg,90311treesImage.jpg"
"llm","h","h","h","Height","h","h","h","11 to 30 years","Death","Sandy","2498treesImage.jpg,1treesImage.jpg,69590treesImage.jpg,4682treesImage.jpg,8854treesImage.jpg"
"ll","h","h","h","Height","h","h","h","0 to 10 years","Weak","Clay","1treesImage.jpg,2498treesImage.jpg,8854treesImage.jpg,4682treesImage.jpg"
"DC0001er","rajkotm","raiya road","Pinus radiata","5 m","525 mm","Dead limbs in excess of 100mm requare  to be removed","Remove deadwood 100mm and larger","31 years to 50 years","Weak","Silty","2treesImage.jpg,1493treesImage.jpg,5026treesImage.jpg,3treesImage.jpg,2treesImage.jpg,3treesImage.jpg,2treesImage.jpg,3treesImage.jpg,4treesImage.jpg,5treesImage.jpg,4treesImage.jpg,5treesImage.jpg,4treesImage.jpg,5treesImage.jpg,6treesImage.jpg,7treesImage.jpg,8treesImage.jpg"
"DC000189","rajkot","raiya road","Pinus radiata","15 m","525 mm","Dead limbs in excess of 100mm requare  to be removed","Remove deadwood 100mm and larger","0 to 10 years","Healthy","Clay","6102treesImage.jpg,6975treesImage.jpg,1493treesImage.jpg,5026treesImage.jpg"
