"TreeId","Address","Location","Species","Height","Trunk Diameter","Defects","Comments","Age Range","Vitality","Soil Type","Tree Image"
"98329876","Raiya Road,Rajkot","Rajkot","Pinusradiata","15m","535mm","Dead is limbs in excess","remove deadwood","0 to 10 years","Healty","Peaty","| bsmall24.JPG"
"989876","Raiya Road,Rajkot","Rajkot","Pinusradiata","15m","535mm","Dead is limbs in excess","remove deadwood","0 to 10 years","Healty","Peaty","| bsmall24.JPG"
"675HG","uyjj","yuuyui","jjj","4666","8998","gyyyuy","yuuyj","0 to 10 years","Healthy","Soil Type",""
"AS67","trtrrt","rtrt","rtrtrt","rtrt","trrttrrt","rtrtr","rttrrt","0 to 10 years","Healthy","Clay",""
"12555766","Raiya Road,Rajkot","Rajkot","Pinusradiata","15m","535mm","Dead is limbs in excess","remove deadwood","0 to 10 years","Healty","Peaty","| bsmall24.JPG"
"DCSD001","Raiya Road,Rajkot","Rajkot","Pinus radiata","15 m","525 mm","4","Remove deadwood 100mm and larger.","0 to 10 years","Weak","Chalky",""
"DCsda002","Raiya Road,Rajkot","Rajkot","Pinus radiata","15 m","525 mm","4","Remove deadwood 100mm and larger.","0 to 10 years","Weak","Chalky",""
"DCsd003","Navrangpura swstic 4 rasta,Ahemdabad","Rajkot","Pinus radiata","4","4","4","Remove deadwood 100mm and larger.","51 years to 80 years","Unsafe","Chalky",""
"DC0s04","eererere","65666","tytyt","5656565","65656","66","656556","0 to 10 years","Healthy","Sandy",""
"DC001cv","Raiya Road,Rajkot","Rajkot","Pinus radiata","15 m","525 mm","4","Remove deadwood 100mm and larger.","0 to 10 years","Weak","Chalky",""
