"No","TreeId","Address","Location","Species","Height","Trunk Diameter","Defects","Comments","Age Range","Vitality","Soil Type"
"1","DC001","Raiya Road,Rajkot","Rajkot","Pinus radiata","15 m","525 mm","4","Remove deadwood 100mm and larger.","0 to 10 years","Weak","Chalky"
"2","DC002","Raiya Road,Rajkot","Rajkot","Pinus radiata","15 m","525 mm","4","Remove deadwood 100mm and larger.","0 to 10 years","Weak","Chalky"
"3","DC003","Navrangpura swstic 4 rasta,Ahemdabad","Rajkot","Pinus radiata","4","4","4","Remove deadwood 100mm and larger.","51 years to 80 years","Unsafe","Chalky"
"4","DC004","eererere","65666","tytyt","5656565","65656","66","656556","0 to 10 years","Healthy","Sandy"
"5","DC005","uyjj","yuuyui","jjj","4666","8998","gyyyuy","yuuyj","0 to 10 years","Healthy","Soil Type"
"6","DC006","trtrrt","rtrt","rtrtrt","rtrt","trrttrrt","rtrtr","rttrrt","0 to 10 years","Healthy","Clay"
"7","DC007","Raiya Road,Rajkot","Rajkot","Pinus radiata","15 m","525 mm","Dead limbs in excess of 100mm requare to be remove","Remove deadwood 100mm and larger.","0 to 10 years","Healthy","Peaty"
"8","DC008","Raiya Road,Rajkot","Rajkot","Pinus radiata","15 m","525 mm","Dead limbs in excess of 100mm requare to be remove","Remove deadwood 100mm and larger.","0 to 10 years","Healthy","Peaty"
"9","DC009","Raiya Road,Rajkot","Rajkot","Pinusradiata","15m","535mm","Dead is limbs in excess","remove deadwood","0 to 10 years","Healthy","Peaty"
"10","DC010","Raiya Road,Rajkot","Rajkot","Pinus radiata","15 m","525 mm","4","Remove deadwood 100mm and larger.","0 to 10 years","Weak","Clay"
"11","DC011","Raiya Road,Rajkot","Rajkot","Pinusradiata","15m","535mm","Dead is limbs in excess","remove deadwood","0 to 10 years","Vitality","Peaty"
"12","DC012","Raiya Road,Rajkot","Rajkot","Pinusradiata","15m","535mm","Dead is limbs in excess","remove deadwood","0 to 10 years","Vitality","Peaty"
"13","1","eerer","rere","reerre","3re","reerre","reerre","reer","0 to 10 years","Healthy","Clay"
"14","11","aassdads","rere","reerre","3re","reerre","reerre","reer","0 to 10 years","Healthy","Clay"
